date,equal_weight,naive_mean,ml_predicted
2022-12-20,0.00303291214698141,-0.00034268546166143273,0.013866452052361665
2022-12-21,0.01942102376353047,0.02088515047116331,0.019607660535364682
2022-12-22,-0.02302439753880025,-0.035596900738475865,-0.005885414106900543
2022-12-23,0.00278827612520761,0.0002294460446140129,0.0015144360891234281
2022-12-27,-0.00872294453804143,-0.01661877120336959,0.005533213862947792
2022-12-28,-0.01224377746580099,-0.011596128605930654,-0.01948227841117166
2022-12-29,0.02333979982280486,0.0213890394672659,0.01788285111418477
2022-12-30,-0.0038389280132698402,-0.0017939987218752057,-0.003424978785002494
2023-01-03,-0.0011357310071601402,-0.0066371553529897785,0.002611768069142382
2023-01-04,0.009209458628371851,0.0056130062244775245,0.017583020310293133
2023-01-05,-0.011482651188324611,-0.014026117753724861,0.004075610118695466
2023-01-06,0.029943869449904986,0.03459320965709149,0.03505535527362095
2023-01-09,0.010717554194878241,0.013014556198007374,0.003143742761389583
2023-01-10,0.008933176902114301,0.009927519097942296,0.003166229459187606
2023-01-11,0.00701037106331138,0.004532326522696186,0.0026409593909766183
2023-01-12,0.0059347231589844006,0.009867096562571993,0.012398676976357097
2023-01-13,0.008934751880008081,0.0071434921584689675,0.007329165594620573
2023-01-17,-0.00963174583843749,-0.02873529708035075,-0.00875610923928368
2023-01-18,-0.01873961738881924,-0.020922060553013905,-0.02192501608955955
2023-01-19,-0.02050638769747868,-0.029148932461256098,-0.03248773536424941
2023-01-20,0.02399218908178637,0.025342696974836078,0.02521763550763241
2023-01-23,0.02771663769032968,0.07590099012659494,0.018889634403845255
2023-01-24,0.0021579276915096503,0.0037512636511676037,0.005393334118098158
2023-01-25,-0.00573748673526314,0.0030107122296118955,-0.004470137517230662
2023-01-26,0.014189072496885941,0.02478909527919269,0.01728760834294845
2023-01-27,0.00330219680409689,0.02843149965348749,-0.013131862734460924
2023-01-30,-0.01983996670988777,-0.05907183332953166,0.00290736954221555
