,weight
CGNX,0.0
EMR,5.7945377087052545e-15
HON,0.8230844417831579
ISRG,7.854887640726891e-16
NVDA,0.17691555821682065
PH,2.870374932733446e-15
QQQ,4.821398449277233e-15
ROK,1.0493919336348401e-16
SPY,7.151245088185102e-15
TER,0.0
