target_return,return,volatility,sharpe,weight_CGNX,weight_EMR,weight_HON,weight_ISRG,weight_NVDA,weight_PH,weight_QQQ,weight_ROK,weight_SPY,weight_TER
-0.5701572271934743,-0.5701572245447337,0.5221134112828013,-1.168629671943523,0.0,4.579669976578771e-16,2.7755575615628914e-16,5.1164652931090515e-09,0.0,1.8041124150158794e-16,0.0,1.249000902703301e-16,4.0245584642661925e-16,0.9999999948835344
-0.540709732730905,-0.5407097327031191,0.4993628652228371,-1.162901315146815,0.0,5.0323421638317715e-17,0.0,0.05688254630140974,0.0,9.347139298132695e-17,8.255116047366577e-17,1.1449174941446927e-16,0.0,0.9431174536985902
-0.5112622382683357,-0.5112622384003395,0.4773253827718662,-1.1548982272828572,1.0060702276943218e-16,3.195382210648672e-17,0.0,0.11376509224048606,2.5980516674592264e-16,0.0,0.0,1.8041124150158794e-16,3.7133437006334875e-16,0.8862349077595132
-0.4818147438057664,-0.48181474380423017,0.45610433640868014,-1.1440688065212168,0.0,0.0,0.0,0.17064763874617747,1.1800439529967869e-16,5.275729853287996e-17,1.4450521725557473e-17,1.0581813203458523e-16,3.967794905792206e-16,0.8293523612538223
-0.4523672493431971,-0.452367249339233,0.4356276417693661,-1.1302479506107799,4.777338049545387e-17,0.0,7.290970725159923e-17,0.19280056888496455,9.856096603739281e-17,0.0,0.0,0.03481408385363626,2.562576275438564e-17,0.7723853472613991
-0.42291975488062783,-0.42291975488041994,0.41571733444096054,-1.1135445085611724,1.6244023788514276e-16,0.0,0.0,0.21113259802059015,0.0,0.0,1.520249342942147e-18,0.0734583617142946,8.342401428953753e-17,0.7154090402651153
-0.39347226041805855,-0.3934722604151999,0.39645638879849293,-1.0933668182997072,8.39228160277526e-17,0.0,0.0,0.22954480062250335,1.8393605859455494e-16,6.552227644803013e-17,0.0,0.11202227112693464,0.0,0.6584329282505624
-0.36402476595548927,-0.3640247659544167,0.3779440960830962,-1.069006686813243,4.395336976404088e-17,0.0,1.3538835266351015e-18,0.2479230689109162,3.1225196441694895e-17,0.0,0.0,0.15062019737792565,6.431009687748572e-17,0.601456733711158
-0.33457727149291994,-0.3345772714934763,0.36029587414103637,-1.0396379708385157,0.0,1.9522770958671423e-16,8.980397648764587e-17,0.266316867198567,0.0,4.290142848054879e-17,0.0,0.18920255585864923,0.0,0.5444805769427837
-0.30512977703035066,-0.30512977703265703,0.34363741042134144,-1.0043428525709286,0.0,8.642670160019834e-17,5.993468536319266e-17,0.28000453930164565,0.0,0.0,1.5883288855294705e-17,0.22108788971430085,0.008982661016133401,0.48992490996792004
-0.2756822825677814,-0.27568228256739463,0.3275149348441755,-0.9638714115971212,0.0,5.754776625794054e-17,4.06895245725157e-17,0.2576036574914356,6.74180577222799e-17,0.0,0.0,0.20591517488899852,0.08346620578125502,0.4530149618383109
-0.2462347881052121,-0.24623478799697474,0.31161449171325023,-0.9185541610188332,0.0,2.7755575615628914e-17,1.2184529011845027e-17,0.23716139244856835,0.0,0.0,0.0,0.1913536654271037,0.1559236930434358,0.41556124908089226
-0.21678729364264282,-0.21678729364251512,0.29596883344907865,-0.8676159940559934,0.0,0.0,0.0,0.21063035962671284,8.000167647373505e-17,0.0,0.0,0.1755226050781392,0.2341834265022359,0.37966360879291244
-0.18733979918007354,-0.18733979917983956,0.28062385698128717,-0.8101228513689742,0.0,1.7975254016663903e-16,0.0,0.18757242386060757,2.0675880019833223e-16,0.0,0.0,0.160332258434919,0.3091991695077354,0.3428961481967384
-0.1578923047175042,-0.1578923047168313,0.2656298184577309,-0.7449928094135315,0.0,0.0,1.137426961629929e-16,0.166212202469472,0.0,0.0,0.0,0.144502195985683,0.3833790763506675,0.3059065251941778
-0.12844481025493493,-0.12844481025468305,0.2510506610899568,-0.6709594371246277,6.552096983540202e-17,1.2934165668900878e-16,0.0,0.1437959570465108,3.5908792229279524e-17,0.0,1.4853092850935892e-16,0.1292090697328207,0.4579694980189119,0.2690254752017563
-0.09899731579236565,-0.09899731579775974,0.23696255808833167,-0.5865792339477792,6.733595836791193e-17,7.744768055284334e-17,8.136532644185194e-17,0.12118496000741211,9.538023216901681e-17,0.0,0.0,0.11417197412287905,0.5325120691983992,0.2321309966713098
-0.06954982132979637,-0.06954982133946794,0.2234583739646745,-0.49024710685841727,0.0,5.2632080662492044e-17,0.0,0.09893514033249294,0.0,3.86687661452138e-18,0.0,0.098963833058471,0.6069043257227515,0.19519670088628463
-0.040102326867227034,-0.04010232686966975,0.21065048224786787,-0.380261777779436,0.0,3.115346966315754e-16,0.0,0.07640093294343887,6.965330320854152e-17,0.0,0.0,0.08372447708959987,0.6815454885079635,0.15832910145899776
-0.01065483240465781,-0.010654832408613854,0.19867358004111857,-0.25496511613738504,0.0,0.0,5.1002634442463745e-17,0.053567440335179614,1.2624104272937234e-17,9.2931527102967e-17,1.1298881437364797e-16,0.06843067498855283,0.7564655912559163,0.12153629342035127
0.018792662057911524,0.018792662058810604,0.18768677558855387,-0.11299324565988618,0.0,0.0,3.021061520975103e-17,0.03119531395306911,0.0,1.238879935164768e-16,0.0,0.05319492746395507,0.8309760553178106,0.08463370326516562
0.04824015652048075,0.04824015652007492,0.1778742725749404,0.04632573559283707,6.604028948725163e-17,0.0,4.3197999471293595e-17,0.007435132737917919,2.784474842722625e-17,1.1124666506935755e-17,0.0,0.03920825107112436,0.9055985486092228,0.047758067581734884
0.07768765098305008,0.0776876509831262,0.16948415144180648,0.22236681520080956,5.0099438940564555e-17,0.0,7.568188664101169e-17,2.5153244049878276e-17,0.0,0.0,1.02921689813455e-16,0.02217697661132185,0.9697388108905223,0.00808421249815587
0.10713514544561942,0.10713514544795148,0.1661290608528185,0.40411439818726025,3.935760673954534e-17,9.714714067414582e-17,0.041809555401255645,0.0,0.0,0.0,8.673617379884035e-18,0.0,0.9581904445987445,0.0
0.13658263990818864,0.13658263991285421,0.16483700890984923,0.5859281271336104,3.0369559501673454e-18,3.4168035147247864e-16,0.10032187578827256,1.2281752423664911e-17,0.0,2.7648622644429032e-17,0.0,6.916851529506311e-17,0.8996781242117272,0.0
0.16603013437075798,0.16603013437605035,0.16423992045909966,0.7673538444475524,0.0,0.0,0.1588341961718983,2.7587854086051183e-17,0.0,4.368167795526121e-17,1.3877787807814457e-17,0.0,0.8411658038281021,1.1937347620995088e-17
0.1954776288333272,0.19547762884759526,0.1643453703578155,0.9460420364083683,9.242800603966611e-17,0.0,0.21734651657211326,3.978568587120352e-18,0.0,1.1375369790295538e-16,4.85722573273506e-17,1.2682841610691122e-17,0.7826534834278867,0.0
