Date,CGNX,EMR,HON,ISRG,NVDA,PH,QQQ,ROK,SPY,TER
2020-08-12,62.681640625,63.3217658996582,139.94931030273438,227.69667053222656,11.387499809265137,193.6201934814453,262.722900390625,213.38827514648438,310.75323486328125,87.60321044921875
2020-08-13,63.852962493896484,62.353572845458984,139.78224182128906,230.18666076660156,11.390236854553223,192.08645629882812,263.3221435546875,211.46328735351562,310.1915283203125,87.92567443847656
2020-08-14,63.49542999267578,61.936100006103516,140.92526245117188,228.17333984375,11.510676383972168,193.67564392089844,263.0128479003906,210.62820434570312,310.2007141113281,88.00384521484375
2020-08-17,64.22926330566406,61.509765625,139.58883666992188,231.3333282470703,12.28011417388916,192.85330200195312,266.0666809082031,211.89903259277344,311.1861572265625,89.88002014160156
2020-08-18,63.128509521484375,60.71925354003906,138.37547302246094,230.79666137695312,12.204214096069336,190.99618530273438,268.6275634765625,211.5087127685547,311.8584899902344,89.14713287353516
2020-08-19,63.9282112121582,60.6837272644043,137.90943908691406,230.47000122070312,12.082526206970215,190.43264770507812,266.8204040527344,207.5693359375,310.5598449707031,88.17974090576172
2020-08-20,62.197105407714844,60.097496032714844,137.31158447265625,231.01666259765625,12.085016250610352,189.28689575195312,270.5216369628906,205.89010620117188,311.52679443359375,86.70420837402344
2020-08-21,62.1124267578125,60.2751350402832,138.48095703125,231.2933349609375,12.625015258789062,190.62664794921875,272.3965148925781,207.42410278320312,312.6319274902344,85.99085998535156
2020-08-24,63.10029602050781,61.86507797241211,140.12518310546875,231.913330078125,12.661595344543457,193.814208984375,274.0972595214844,209.48452758789062,315.7998962402344,87.05597686767578
2020-08-25,63.598907470703125,61.98052215576172,144.66207885742188,233.1666717529297,12.69120979309082,193.59243774414062,276.25238037109375,209.52993774414062,316.9049377441406,88.24812316894531
2020-08-26,64.08814239501953,62.415733337402344,145.34788513183594,233.3300018310547,12.714102745056152,193.8234405517578,282.1473693847656,210.93682861328125,320.0821533203125,87.81820678710938
2020-08-27,62.67693328857422,61.811763763427734,145.94578552246094,236.4633331298828,12.57001781463623,192.79354858398438,281.2679748535156,210.5919189453125,320.7819519042969,82.84439086914062
2020-08-28,64.35157012939453,62.7532844543457,148.04713439941406,242.336669921875,13.087125778198242,195.28013610839844,282.69818115234375,211.73562622070312,322.8540954589844,83.7726821899414
2020-08-31,65.09481811523438,61.70518112182617,145.5588836669922,243.6133270263672,13.312829971313477,191.14199829101562,284.96929931640625,209.24853515625,321.6845703125,83.03004455566406
2020-09-01,65.87568664550781,62.291404724121094,147.68667602539062,247.19000244140625,13.761384010314941,196.486328125,289.83984375,212.34378051757812,324.71435546875,83.40137481689453
2020-09-02,67.28689575195312,62.79769515991211,151.643310546875,255.0366668701172,14.284618377685547,198.86154174804688,292.58441162109375,215.39361572265625,329.4110107421875,86.4537353515625
2020-09-03,62.72395706176758,61.056766510009766,146.2183074951172,247.20333862304688,12.959360122680664,191.4203643798828,277.7502746582031,207.68736267089844,318.0745849609375,80.15336608886719
2020-09-04,59.44994354248047,61.76735305786133,146.56124877929688,245.0933380126953,12.5680570602417,192.33889770507812,274.0489501953125,207.17901611328125,315.4775085449219,76.89557647705078
2020-09-08,57.03205490112305,60.18631362915039,144.43348693847656,231.38999938964844,11.861617088317871,188.45130920410156,260.8770751953125,200.5256805419922,306.8578796386719,73.89216613769531
2020-09-09,59.17710876464844,61.021240234375,145.73477172851562,239.82666015625,12.66015911102295,192.14404296875,268.5406494140625,203.83871459960938,312.9173889160156,75.2031021118164
2020-09-10,58.85723876953125,59.96425247192383,144.43348693847656,235.1999969482422,12.258648872375488,189.564697265625,263.186767578125,199.1187744140625,307.4840393066406,73.80410766601562
2020-09-11,58.52794647216797,60.32841873168945,146.35020446777344,234.17999267578125,12.112032890319824,194.036865234375,261.3602600097656,201.7329559326172,307.6405944824219,73.29537200927734
2020-09-14,59.976783752441406,60.56825256347656,148.12632751464844,238.77999877929688,12.816729545593262,196.18017578125,265.9119873046875,203.92047119140625,311.6925354003906,75.15416717529297
2020-09-15,60.447208404541016,60.763671875,147.97682189941406,238.52333068847656,12.934966087341309,194.77911376953125,269.6808776855469,204.02029418945312,313.2674255371094,75.52594757080078
2020-09-16,59.73219299316406,61.003475189208984,149.4715118408203,230.4633331298828,12.460521697998047,198.86154174804688,265.38043212890625,204.48321533203125,312.0240478515625,74.67478942871094
2020-09-17,59.261783599853516,61.36764144897461,149.77047729492188,226.9566650390625,12.409741401672363,198.6202850341797,261.23468017578125,201.6875457763672,309.27978515625,75.95637512207031
2020-09-18,57.87877655029297,60.2662467956543,148.32850646972656,218.52333068847656,12.136674880981445,193.36880493164062,257.9004821777344,198.7466583251953,305.7191162109375,74.71395111083984
2020-09-21,57.6247673034668,57.717037200927734,141.88368225097656,213.98333740234375,12.463260650634766,184.62863159179688,258.5191345214844,189.77874755859375,302.3166809082031,75.25200653076172
2020-09-22,58.48090362548828,57.9390983581543,143.03549194335938,222.0066680908203,12.58324146270752,186.15032958984375,263.3221435546875,194.3262176513672,305.3955078125,74.89981842041016
2020-09-23,57.01323699951172,56.74886703491211,139.615234375,219.1366729736328,12.071457862854004,181.36270141601562,255.28172302246094,193.13711547851562,298.3130798339844,73.77474212646484
2020-09-24,57.56831741333008,57.19298553466797,139.58883666992188,219.17666625976562,12.29473876953125,181.78021240234375,256.4703674316406,197.30343627929688,299.10821533203125,74.64544677734375
2020-09-25,58.00109100341797,57.139678955078125,141.98916625976562,224.57666015625,12.818221092224121,185.54721069335938,262.43304443359375,195.7603759765625,303.9438781738281,76.03466796875
2020-09-28,59.71335983276367,58.196685791015625,144.7587890625,231.05332946777344,12.978775978088379,188.29359436035156,267.8834228515625,199.68153381347656,308.9923095703125,77.48255920410156
2020-09-29,61.11518096923828,57.87691879272461,144.64447021484375,230.97666931152344,13.16870403289795,187.58840942382812,266.67547607421875,200.80711364746094,307.3094787597656,78.12826538085938
2020-09-30,61.24689483642578,58.241092681884766,144.7323760986328,236.51333618164062,13.472140312194824,187.7368621826172,268.5019226074219,200.307861328125,309.6395263671875,77.73694610595703
2020-10-01,61.67966079711914,57.40616226196289,143.91470336914062,236.83999633789062,13.555776596069336,186.24307250976562,272.76373291015625,199.25491333007812,311.6273498535156,79.53703308105469
2020-10-02,60.59772872924805,58.214447021484375,145.61166381835938,232.0933380126953,13.00590991973877,192.33889770507812,265.0905456542969,202.803955078125,308.6686706542969,76.91514587402344
2020-10-05,62.91212844848633,60.035301208496094,148.3461151123047,235.89999389648438,13.583654403686523,197.75746154785156,270.7439270019531,211.69021606445312,314.14227294921875,79.46855163574219
2020-10-06,62.2253303527832,59.75996780395508,146.73707580566406,233.0066680908203,13.677249908447266,194.6956329345703,265.9119873046875,211.29989624023438,309.67645263671875,79.35115814208984
