date,ticker,close,daily_return,volatility_30d,momentum_30d,momentum_90d
2020-12-18,CGNX,76.44738006591797,-0.009149150374585968,0.30008140444316167,0.09955022090619048,0.21961357909045587
2020-12-21,CGNX,78.13955688476562,0.02213518393159508,0.2958089278051163,0.14780812850904423,0.22374207605848762
2020-12-22,CGNX,77.8494644165039,-0.003712491852104094,0.28322021240761863,0.1730516736005563,0.22606405571997645
2020-12-23,CGNX,79.21286010742188,0.017513231479970637,0.27949791710467675,0.20971609634070543,0.23328302444403848
2020-12-24,CGNX,78.06221008300781,-0.014526050730318874,0.2695848435906176,0.1487357728200447,0.23656032234439328
2020-12-28,CGNX,79.6866683959961,0.020809791463256122,0.2534185706861847,0.20778493322064184,0.2465023951873202
2020-12-29,CGNX,77.8978271484375,-0.02244843815867792,0.2650984701657511,0.1622601354316393,0.25243492663848577
2020-12-30,CGNX,78.21691131591797,0.00409618829126579,0.25833561451892345,0.13854946220665032,0.2592795902323981
2020-12-31,CGNX,77.6367416381836,-0.007417445511125775,0.24869642075776036,0.15544303665237735,0.230370482144036
2021-01-04,CGNX,77.56904602050781,-0.0008719533592904671,0.2418272856819098,0.1725093605229322,0.2196600398558739
2021-01-05,CGNX,78.9808120727539,0.01820012137151772,0.24287222907452163,0.1754464112354086,0.2323779270421127
2021-01-06,CGNX,80.85670471191406,0.023751245269954424,0.24855558772547384,0.1953240245573753,0.29005521600167294
2021-01-07,CGNX,82.75191497802734,0.02343912323493469,0.24988228777200389,0.2329528687732605,0.28593466813062096
2021-01-08,CGNX,82.9549789428711,0.002453888407267346,0.24003981425857313,0.19929926463045677,0.27437146834053205
2021-01-11,CGNX,82.87763214111328,-0.0009323949296772271,0.23806432361154942,0.20589657203900047,0.2580913590638809
2021-01-12,CGNX,81.95903778076172,-0.011083742822037945,0.23926395122543295,0.16835960887678514,0.2180534837406689
2021-01-13,CGNX,81.36915588378906,-0.007197276992814028,0.24174525995388557,0.15007088454225248,0.2972580126547273
